full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code
1715 DOUBLETREE PL MESQUITE TX 75149,3,2.5,1985,1736,4173,235298,32.7797301,-96.5723957,75149
1612 HACKAMORE ST MESQUITE TX 75149,2,2.0,1984,1190,4400,240616,32.7765852,-96.5737719,75149
1025 GARDEN TRL MESQUITE TX 75149,3,2.0,1985,1258,4857,265955,32.7773622,-96.5790672,75149
1557 COPPER MEADOW DR MESQUITE TX 75149,4,2.5,1986,1809,4944,309942,32.776234,-96.5737719,75149
512 LINDO DR MESQUITE TX 75149,3,1.5,1968,1031,7200,225594,32.7613429,-96.5861932,75149
519 FREEMAN ST MESQUITE TX 75149,2,1.0,1953,977,7200,209629,32.7616028,-96.5905333,75149
1200 WOODCREST DR MESQUITE TX 75149,2,2.0,1958,1115,9374,209703,32.7444918,-96.6154098,75149
2009 SPRING LAKE DR MESQUITE TX 75149,4,2.0,1960,1171,10981,227415,32.7417634,-96.6156149,75149
6110 LUMLEY RD MESQUITE TX 75181,3,2.0,1970,1569,36155,260209,32.7011429,-96.5535903,75181
1215 CHELSEA CT MESQUITE TX 75149,4,2.0,1998,1652,6660,295869,32.7528418,-96.6138229,75149
2836 THRUSH DR MESQUITE TX 75181,3,2.5,2004,2560,7723,339112,32.7193815,-96.5365827,75181
2420 BROOK CREST DR MESQUITE TX 75150,4,2.0,1989,1732,9500,325700,32.7983653,-96.6019701,75150
518 WILLOWBROOK DR MESQUITE TX 75149,2,1.0,1955,1021,7200,198231,32.7803942,-96.6048491,75149
2310 APOLLO WAY  MESQUITE TX 75150,4,2.0,1970,1962,7671,314975,32.8000362,-96.6344518,75150
2405 AVIS ST MESQUITE TX 75149,3,1.0,1961,1392,7440,204301,32.7364356,-96.614658,75149
2436 LINDALE LN MESQUITE TX 75149,3,1.0,1969,1176,15002,226750,32.7350496,-96.6156312,75149
3704 BYRD DR MESQUITE TX 75150,3,1.5,1962,1702,7318,241432,32.8040374,-96.6549241,75150
119 WILDERNESS TRL MESQUITE TX 75149,2,2.0,1984,1111,4386,216346,32.7823732,-96.5971709,75149
1306 BUENA VISTA ST MESQUITE TX 75149,3,1.0,1958,1184,7501,228035,32.7790568,-96.6120696,75149
828 VIA MADONNA  MESQUITE TX 75150,3,2.5,1982,1592,3040,280973,32.8317657,-96.6084582,75150
2605 MARK DR MESQUITE TX 75150,3,1.5,1962,1952,9052,257386,32.7944597,-96.6402907,75150
2800 BELHAVEN DR MESQUITE TX 75150,3,1.5,1961,1224,9479,242147,32.7997076,-96.6421616,75150
5334 KIAMESHA WAY  MESQUITE TX 75150,3,1.0,1955,1119,7501,222385,32.8361494,-96.6559044,75150
5042 KIAMESHA WAY  MESQUITE TX 75150,3,1.0,1956,1109,9775,220418,32.832695,-96.6555226,75150
3514 LA PRADA DR MESQUITE TX 75150,4,2.0,1959,1941,9239,253328,32.8340495,-96.6498438,75150
3403 CARACAS DR MESQUITE TX 75150,2,1.5,1959,978,9749,246505,32.8313478,-96.6505592,75150
550 OXBOW ST MESQUITE TX 75149,3,2.0,1985,1440,3951,253754,32.7614103,-96.579313,75149
1445 SAVANNAH ST MESQUITE TX 75149,3,2.0,1988,1471,5101,276133,32.7649859,-96.5794678,75149
822 BIG THICKET TRL MESQUITE TX 75149,4,2.0,1996,2220,8072,331476,32.7774631,-96.5850518,75149
1417 MEADOWCREST DR MESQUITE TX 75149,3,2.0,1969,1893,9239,286520,32.7828802,-96.6371311,75149
1424 MOUNT VERNON DR MESQUITE TX 75149,3,2.5,1967,1684,6900,257659,32.7831232,-96.6380034,75149
2700 SYBIL CIR MESQUITE TX 75149,4,2.5,1967,2238,8738,312618,32.7839644,-96.6377783,75149
3923 FARRINGTON ST MESQUITE TX 75150,3,2.0,1981,1474,8847,262599,32.8177734,-96.6165302,75150
3927 FARRINGTON ST MESQUITE TX 75150,4,2.0,1981,2196,4556,363526,32.8177671,-96.6168251,75150
101 RIPPLEWOOD DR MESQUITE TX 75150,3,2.0,1983,1439,13687,275079,32.7954516,-96.596463,75150
4859 BEDFORD DR MESQUITE TX 75150,3,1.5,1957,1442,7074,231694,32.8336777,-96.6443319,75150
3051 MASON DR MESQUITE TX 75150,3,1.5,1959,1404,7048,304976,32.8312799,-96.6464698,75150
607 BUTTON DR MESQUITE TX 75150,3,2.0,1980,1711,7440,284765,32.8184618,-96.6049116,75150
623 ROSEDOWN LN MESQUITE TX 75150,3,2.0,1981,1967,7706,292386,32.8099457,-96.606226,75150
1514 BETTE DR MESQUITE TX 75149,3,2.0,1981,1616,7993,308231,32.7427576,-96.5791525,75149
1529 SAVANNAH ST MESQUITE TX 75149,3,2.0,1988,1192,3981,244283,32.7648954,-96.5781927,75149
1616 OXFORD PL MESQUITE TX 75149,4,2.5,1984,2198,10149,334691,32.7880328,-96.6446666,75149
2510 LARCHMONT DR MESQUITE TX 75150,3,1.5,1963,1616,8978,275597,32.7977299,-96.6389053,75150
2512 NORTHVIEW DR MESQUITE TX 75150,3,1.5,1965,1523,7379,281682,32.7969879,-96.6380697,75150
1916 CHIPPEWA TRL MESQUITE TX 75149,4,2.5,1992,2404,21610,403703,32.7485664,-96.5663907,75149
1928 BLACKFOOT TRL MESQUITE TX 75149,4,3.5,1994,3376,10877,417077,32.7522929,-96.5698518,75149
423 PADDY ST MESQUITE TX 75149,3,1.0,1954,1212,7148,245899,32.7626135,-96.589539,75149
2113 CRAWFORD DR MESQUITE TX 75149,3,2.0,2000,1446,7292,253597,32.7472873,-96.5698518,75149
916 JACKSONHOLE LN MESQUITE TX 75149,3,2.0,1987,2240,7819,350839,32.7770368,-96.5894129,75149
1239 TOSCH LN MESQUITE TX 75149,4,2.0,1961,1514,9601,299171,32.752294,-96.6007602,75149
1107 CYPRESS DR MESQUITE TX 75149,3,2.0,1988,1408,9479,287696,32.763195,-96.5846576,75149
1427 CRAWFORD DR MESQUITE TX 75149,4,2.0,2000,2168,10851,369603,32.7495145,-96.5742723,75149
